k,iteration,random_seed,db_index
2,0,359,3.0125509655825264
3,0,359,3.094894678980874
4,0,359,2.698991882951865
5,0,359,2.172199585965321
6,0,359,2.6282796161907402
7,0,359,2.415074374716281
8,0,359,2.1311288398184187
9,0,359,1.9871698187321805
10,0,359,1.8584317845935232
11,0,359,1.9014057050679936
12,0,359,1.813224624652405
13,0,359,1.7734009096837355
2,1,359,3.0125509655825264
3,1,359,3.094894678980874
4,1,359,2.698991882951865
5,1,359,2.172199585965321
6,1,359,2.6282796161907402
7,1,359,2.415074374716281
8,1,359,2.1311288398184187
9,1,359,1.9871698187321805
10,1,359,1.8584317845935232
11,1,359,1.9014057050679936
12,1,359,1.813224624652405
13,1,359,1.7734009096837355
2,2,359,3.0125509655825264
3,2,359,3.094894678980874
4,2,359,2.698991882951865
5,2,359,2.172199585965321
6,2,359,2.6282796161907402
7,2,359,2.415074374716281
8,2,359,2.1311288398184187
9,2,359,1.9871698187321805
10,2,359,1.8584317845935232
11,2,359,1.9014057050679936
12,2,359,1.813224624652405
13,2,359,1.7734009096837355
2,3,359,3.0125509655825264
3,3,359,3.094894678980874
4,3,359,2.698991882951865
5,3,359,2.172199585965321
6,3,359,2.6282796161907402
7,3,359,2.415074374716281
8,3,359,2.1311288398184187
9,3,359,1.9871698187321805
10,3,359,1.8584317845935232
11,3,359,1.9014057050679936
12,3,359,1.813224624652405
13,3,359,1.7734009096837355
2,4,359,3.0125509655825264
3,4,359,3.094894678980874
4,4,359,2.698991882951865
5,4,359,2.172199585965321
6,4,359,2.6282796161907402
7,4,359,2.415074374716281
8,4,359,2.1311288398184187
9,4,359,1.9871698187321805
10,4,359,1.8584317845935232
11,4,359,1.9014057050679936
12,4,359,1.813224624652405
13,4,359,1.7734009096837355
