,population,max_generations,combination_prob,mutation_prob,iteration,accuracy
0,25.0,50.0,0.7,0.05,1.0,0.6451747088186356
1,25.0,50.0,0.7,0.05,2.0,0.5099833610648918
2,25.0,50.0,0.7,0.05,3.0,0.45029118136439267
3,25.0,50.0,0.7,0.05,4.0,0.6755407653910149
4,25.0,50.0,0.7,0.05,5.0,0.5563643926788685
5,25.0,50.0,0.7,0.05,6.0,0.45445091514143093
6,25.0,50.0,0.7,0.05,7.0,0.5031198003327787
7,25.0,50.0,0.7,0.05,8.0,0.5366056572379367
8,25.0,50.0,0.7,0.05,9.0,0.5979617304492513
9,25.0,50.0,0.7,0.05,10.0,0.5719633943427621
10,25.0,50.0,0.7,0.05,11.0,0.39954242928452577
11,25.0,50.0,0.7,0.05,12.0,0.5230865224625624
12,25.0,50.0,0.7,0.05,13.0,0.48065723793677206
13,25.0,50.0,0.7,0.05,14.0,0.5948419301164726
14,25.0,50.0,0.7,0.05,15.0,0.5220465890183028
15,25.0,50.0,0.7,0.05,16.0,0.4161813643926789
16,25.0,50.0,0.7,0.05,17.0,0.5303660565723793
17,25.0,50.0,0.7,0.05,18.0,0.5784109816971714
18,25.0,50.0,0.7,0.05,19.0,0.43885191347753744
19,25.0,50.0,0.7,0.05,20.0,0.45757071547420963
20,25.0,50.0,0.7,0.05,21.0,0.5247504159733777
21,25.0,50.0,0.7,0.05,22.0,0.5519966722129783
22,25.0,50.0,0.7,0.05,23.0,0.4860648918469218
23,25.0,50.0,0.7,0.05,24.0,0.610648918469218
24,25.0,50.0,0.7,0.05,25.0,0.43469217970049917
25,25.0,50.0,0.7,0.05,26.0,0.5463810316139767
26,25.0,50.0,0.7,0.05,27.0,0.37707986688851913
27,25.0,50.0,0.7,0.05,28.0,0.5540765391014975
28,25.0,50.0,0.7,0.05,29.0,0.449459234608985
29,25.0,50.0,0.7,0.05,30.0,0.5330698835274542
30,25.0,50.0,0.7,0.1,1.0,0.6410149750415973
31,25.0,50.0,0.7,0.1,2.0,0.430324459234609
32,25.0,50.0,0.7,0.1,3.0,0.4981281198003328
33,25.0,50.0,0.7,0.1,4.0,0.5509567387687188
34,25.0,50.0,0.7,0.1,5.0,0.5461730449251248
35,25.0,50.0,0.7,0.1,6.0,0.4509151414309484
36,25.0,50.0,0.7,0.1,7.0,0.46381031613976703
37,25.0,50.0,0.7,0.1,8.0,0.42179700499168055
38,25.0,50.0,0.7,0.1,9.0,0.4292845257903494
39,25.0,50.0,0.7,0.1,10.0,0.4211730449251248
40,25.0,50.0,0.7,0.1,11.0,0.4507071547420965
